n	∆_{(n)}
 	p_{n+1} - p_n
1891	28
1892	18
1893	14
1894	6
1895	10
1896	12
1897	2
1898	6
1899	12
1900	30
1901	6
1902	4
1903	6
1904	6
1905	14
1906	4
1907	2
1908	24
1909	4
1910	6
1911	6
1912	26
1913	10
1914	18
1915	6
1916	8
1917	6
1918	6
1919	30
1920	4
1921	12
1922	12
1923	2
1924	16
1925	2
1926	6
1927	4
1928	12
1929	18
1930	2
1931	6
1932	4
1933	26
1934	12
1935	6
1936	12
1937	4
1938	24
1939	24
1940	12
1941	6
1942	2
1943	12
1944	28
1945	8
1946	4
1947	6
1948	12
1949	2
1950	18
1951	6
1952	4
1953	6
1954	6
1955	20
1956	16
1957	2
1958	6
1959	6
1960	18
1961	10
1962	6
1963	2
1964	4
1965	8
1966	6
1967	6
1968	24
1969	16
1970	6
1971	8
1972	10
1973	6
1974	14
1975	22
1976	8
1977	16
1978	6
1979	2
1980	12
1981	4
1982	2
1983	22
1984	8
1985	18
1986	34
1987	2
1988	6
1989	18
1990	4
1991	6
1992	6
1993	8
1994	10
1995	8
1996	18
1997	6
1998	4
1999	2
2000	4
2001	8
2002	16
2003	2
2004	12
2005	12
2006	6
2007	18
2008	4
2009	6
2010	6
2011	6
2012	2
2013	6
2014	12
2015	10
2016	20
2017	12
2018	18
2019	4
2020	6
2021	2
2022	16
2023	2
2024	10
2025	14
2026	4
2027	30
2028	2
2029	10
2030	12
2031	2
2032	24
2033	6
2034	16
2035	8
2036	10
2037	2
2038	12
2039	22
2040	6
2041	2
2042	16
2043	20
2044	10
2045	2
2046	12
2047	12
2048	18
2049	10
2050	12
2051	6
2052	2
2053	10
2054	2
2055	6
2056	10
2057	18
2058	2
2059	12
2060	6
2061	4
2062	6
2063	2
2064	24
2065	28
2066	2
2067	4
2068	2
2069	10
2070	2
2071	16
2072	12
2073	8
2074	22
2075	2
2076	6
2077	4
2078	2
2079	10
2080	6
2081	20
2082	12
2083	10
2084	8
2085	12
2086	6
2087	6
2088	6
2089	4
2090	18
2091	2
2092	4
2093	12
2094	18
2095	2
2096	12
2097	6
2098	4
2099	2
2100	16
2101	12
2102	12
2103	14
2104	4
2105	8
2106	18
2107	4
2108	12
2109	14
2110	6
2111	6
2112	4
2113	8
2114	6
2115	4
2116	20
2117	12
2118	10
2119	14
2120	4
2121	2
2122	16
2123	2
2124	12
2125	30
2126	4
2127	6
2128	24
2129	20
2130	24
2131	10
2132	8
2133	12
2134	10
2135	12
2136	6
2137	12
2138	12
2139	6
2140	8
2141	16
2142	14
2143	6
2144	4
2145	6
2146	36
2147	20
2148	10
2149	30
2150	12
2151	2
2152	4
2153	2
2154	28
2155	12
2156	14
2157	6
2158	22
2159	8
2160	4
2161	18
2162	6
2163	14
2164	18
2165	4
2166	6
2167	2
2168	6
2169	34
2170	18
2171	2
2172	16
2173	6
2174	18
2175	2
2176	24
2177	4
2178	2
2179	6
2180	12
2181	6
2182	12
2183	10
2184	8
2185	6
2186	16
2187	12
2188	8
2189	10
2190	14
2191	40
2192	6
2193	2
2194	6
